"","n","interim_fraction","MonitoringType","P","Proportion","FutilityPValue","EfficacyPValue","AlternativeRejectionRate0.8","NullRejectionRate0.05","TypeIIError","LevelOfSignificance"
"60",40,0.5,"FO",0.587238814856593,0.85,0.587238814856593,0,0.816,0.273,0.184,0.727
"61",40,0.5,"FO",0.587238814856593,0.9,0.587238814856593,0,0.813,0.261,0.187,0.739
"62",40,0.5,"FO",0.587238814856593,0.95,0.587238814856593,0,0.758,0.204,0.242,0.796
"63",40,0.5,"FO",0.587238814856593,1,0.587238814856593,0,0,0,1,1
"64",40,0.5,"EO",0.00304526344597988,0,1.99999999802682,0.00304526344597988,0.872,0.38,0.128,0.62
"65",40,0.5,"EO",0.00304526344597988,0.05,1.99999999802682,0.00304526344597988,0.676,0.125,0.324,0.875
"66",40,0.5,"EO",0.00304526344597988,0.1,1.99999999802682,0.00304526344597988,0.638,0.104,0.362,0.896
"67",40,0.5,"EO",0.00304526344597988,0.15,1.99999999802682,0.00304526344597988,0.534,0.058,0.466,0.942
"68",40,0.5,"EO",0.00304526344597988,0.2,1.99999999802682,0.00304526344597988,0.508,0.048,0.492,0.952
"69",40,0.5,"EO",0.00304526344597988,0.25,1.99999999802682,0.00304526344597988,0.486,0.039,0.514,0.961
"70",40,0.5,"EO",0.00304526344597988,0.3,1.99999999802682,0.00304526344597988,0.482,0.038,0.518,0.962
"71",40,0.5,"EO",0.00304526344597988,0.35,1.99999999802682,0.00304526344597988,0.47,0.034,0.53,0.966
"72",40,0.5,"EO",0.00304526344597988,0.4,1.99999999802682,0.00304526344597988,0.443,0.032,0.557,0.968
"73",40,0.5,"EO",0.00304526344597988,0.45,1.99999999802682,0.00304526344597988,0.362,0.018,0.638,0.982
"74",40,0.5,"EO",0.00304526344597988,0.5,1.99999999802682,0.00304526344597988,0.354,0.018,0.646,0.982
"75",40,0.5,"EO",0.00304526344597988,0.55,1.99999999802682,0.00304526344597988,0.35,0.018,0.65,0.982
"76",40,0.5,"EO",0.00304526344597988,0.6,1.99999999802682,0.00304526344597988,0.297,0.012,0.703,0.988
"77",40,0.5,"EO",0.00304526344597988,0.65,1.99999999802682,0.00304526344597988,0.286,0.011,0.714,0.989
"78",40,0.5,"EO",0.00304526344597988,0.7,1.99999999802682,0.00304526344597988,0.284,0.011,0.716,0.989
"79",40,0.5,"EO",0.00304526344597988,0.75,1.99999999802682,0.00304526344597988,0.283,0.011,0.717,0.989
"80",40,0.5,"EO",0.00304526344597988,0.8,1.99999999802682,0.00304526344597988,0.269,0.011,0.731,0.989
"81",40,0.5,"EO",0.00304526344597988,0.85,1.99999999802682,0.00304526344597988,0.212,0.006,0.788,0.994
"82",40,0.5,"EO",0.00304526344597988,0.9,1.99999999802682,0.00304526344597988,0.154,0.004,0.846,0.996
"83",40,0.5,"EO",0.00304526344597988,0.95,1.99999999802682,0.00304526344597988,0.148,0.004,0.852,0.996
"84",40,0.5,"EO",0.00304526344597988,1,1.99999999802682,0.00304526344597988,0,0,1,1
"85",40,0.5,"FE",0.00304526344597988,0,0.578364124002847,0.00304526344597988,0.872,0.38,0.128,0.62
"86",40,0.5,"FE",0.00304526344597988,0.05,0.578364124002847,0.00304526344597988,0.676,0.125,0.324,0.875
"87",40,0.5,"FE",0.00304526344597988,0.1,0.578364124002847,0.00304526344597988,0.638,0.104,0.362,0.896
